native-country,race,class
Cambodia,Asian-Pac-Islander,18
Cambodia,Black,1
Canada,Asian-Pac-Islander,1
Canada,Other,1
Canada,White,119
China,Asian-Pac-Islander,73
China,White,2
Columbia,Amer-Indian-Eskimo,1
Columbia,Other,7
Columbia,White,51
Cuba,Black,3
Cuba,Other,2
Cuba,White,90
Dominican-Republic,Asian-Pac-Islander,1
Dominican-Republic,Black,12
Dominican-Republic,Other,18
Dominican-Republic,White,39
Ecuador,Other,9
Ecuador,White,19
El-Salvador,Black,1
El-Salvador,Other,4
El-Salvador,White,101
England,Asian-Pac-Islander,1
England,Black,8
England,White,81
France,Black,1
France,White,28
Germany,Amer-Indian-Eskimo,1
Germany,Asian-Pac-Islander,3
Germany,Black,8
Germany,Other,1
Germany,White,124
Greece,Asian-Pac-Islander,1
Greece,White,28
Guatemala,Other,4
Guatemala,White,60
Haiti,Asian-Pac-Islander,1
Haiti,Black,43
Holand-Netherlands,White,1
Honduras,Black,1
Honduras,White,12
Hong,Amer-Indian-Eskimo,1
Hong,Asian-Pac-Islander,17
Hong,White,2
Hungary,White,13
India,Asian-Pac-Islander,85
India,Black,2
India,Other,5
India,White,8
Iran,Asian-Pac-Islander,6
Iran,Other,2
Iran,White,35
Ireland,Asian-Pac-Islander,1
Ireland,White,23
Italy,White,73
Jamaica,Black,75
Jamaica,Other,1
Jamaica,White,5
Japan,Asian-Pac-Islander,38
Japan,Black,3
Japan,Other,2
Japan,White,19
Laos,Asian-Pac-Islander,18
Mexico,Amer-Indian-Eskimo,8
Mexico,Asian-Pac-Islander,1
Mexico,Black,4
Mexico,Other,40
Mexico,White,590
Nicaragua,Black,2
Nicaragua,Other,4
Nicaragua,White,28
Outlying-US(Guam-USVI-etc),Black,6
Outlying-US(Guam-USVI-etc),White,8
Peru,Other,1
Peru,White,30
Philippines,Amer-Indian-Eskimo,1
Philippines,Asian-Pac-Islander,188
Philippines,Black,1
Philippines,White,8
Poland,Asian-Pac-Islander,1
Poland,White,59
Portugal,Asian-Pac-Islander,1
Portugal,White,36
Puerto-Rico,Amer-Indian-Eskimo,1
Puerto-Rico,Asian-Pac-Islander,1
Puerto-Rico,Black,9
Puerto-Rico,Other,21
Puerto-Rico,White,82
Scotland,White,12
South,Amer-Indian-Eskimo,2
South,Asian-Pac-Islander,77
South,White,1
Taiwan,Asian-Pac-Islander,48
Taiwan,Other,1
Taiwan,White,2
Thailand,Asian-Pac-Islander,16
Thailand,White,2
Trinadad&Tobago,Asian-Pac-Islander,2
Trinadad&Tobago,Black,16
Trinadad&Tobago,Other,1
United-States,Amer-Indian-Eskimo,296
United-States,Asian-Pac-Islander,292
United-States,Black,2832
United-States,Other,129
United-States,White,25621
Vietnam,Asian-Pac-Islander,65
Vietnam,White,2
Yugoslavia,White,16
